h3_index,building_count,total_area,avg_area
892aa8443cfffff,79,391479.61546664,4955.438170463797
892aa8443d3ffff,124,157729.91364867,1272.0154326505644
892aa8443d7ffff,263,291993.53978096,1110.2415961253232
892aa8443dbffff,170,174876.80082845,1028.6870636967647
892aa84466bffff,42,33296.39416169,792.7712895640476
892aa84466fffff,27,64252.175392200006,2379.7101997111113
892aa844803ffff,160,231995.37316212,1449.97108226325
892aa844807ffff,255,294142.91626427,1153.501632408902
892aa84480bffff,65,240144.923574,3694.537285753846
892aa84480fffff,70,123054.65081851,1757.9235831215713
892aa844813ffff,127,243294.33237877,1915.703404557244
892aa844817ffff,202,303419.31645799,1502.0758240494554
892aa84481bffff,175,120379.83572715,687.8847755837143
892aa844823ffff,5,2467.67598451,493.535196902
892aa84482bffff,170,149550.57540663,879.7092670978235
892aa844833ffff,23,39404.55557067,1713.2415465508698
892aa84483bffff,263,224902.31985413,855.1419005860456
892aa844843ffff,309,166173.7247711,537.7790445666667
892aa844847ffff,163,141929.30523024,870.7319339278527
892aa84484bffff,139,89222.84865601,641.8909975252518
892aa84484fffff,164,105874.35355529,645.5753265566464
892aa844853ffff,65,151946.3136838,2337.6355951353844
892aa844857ffff,77,105750.31650418,1373.3807338205195
892aa84485bffff,9,52502.42582943,5833.602869936667
892aa844863ffff,175,168734.60665349,964.1977523056571
892aa844867ffff,189,173001.34116988,915.3510114808466
892aa84486bffff,207,134266.31662654,648.6295489204831
892aa84486fffff,8,6251.92273305,781.49034163125
892aa844873ffff,87,142756.84548696,1640.8832814593102
892aa844877ffff,238,173599.53495847,729.4098107498739
892aa84487bffff,420,240274.52788626,572.082209253
892aa844883ffff,251,248731.89126998,990.9637102389642
892aa844887ffff,302,204045.50822939,675.6473782430132
892aa84488bffff,185,202319.08722344,1093.6166876942702
892aa84488fffff,208,272475.35680422,1309.9776769433654
892aa844893ffff,302,204447.48880648,676.9784397565562
892aa844897ffff,138,187997.27474023,1362.2990923205073
892aa84489bffff,193,221036.88281356,1145.2688228681866
892aa8448abffff,83,111106.46426087,1338.6320995285541
892aa8448b3ffff,76,44258.57950196,582.3497302889473
892aa8448bbffff,290,198686.01171264,685.1241783194482
892aa8448c3ffff,207,209209.29999629,1010.6729468419807
892aa8448c7ffff,90,139291.01210081,1547.6779122312223
892aa8448cbffff,115,206549.2073542,1796.0800639495653
892aa8448cfffff,220,207466.66771851,943.0303078114091
892aa8448d3ffff,105,253427.01214302,2413.5905918382855
892aa8448d7ffff,179,181859.4692222,1015.9746883921787
892aa8448dbffff,233,237618.38664583,1019.8214019134335
892aa844a03ffff,87,91944.66853043,1056.8352704647127
892aa844a0bffff,15,40457.09361191,2697.139574127333
892aa844a0fffff,154,202692.07869811,1316.1823292085066
892aa844a13ffff,181,239679.59112939,1324.196636073978
892aa844a17ffff,7,53811.88839701,7687.412628144286
892aa844a1bffff,36,42177.55349697,1171.5987082491667
892aa844a23ffff,116,123998.84112131,1068.9555269078448
892aa844a27ffff,113,120788.80903912999,1068.9275136206195
892aa844a2bffff,124,136024.12801758,1096.9687743353225
892aa844a2fffff,104,132444.74458925,1273.5071595120194
892aa844a37ffff,41,51231.51281245,1249.5490929865853
892aa844a3bffff,120,182909.03255560002,1524.2419379633334
892aa844a43ffff,62,1045583.4069254,16864.248498796773
892aa844a47ffff,23,150384.31491021,6538.4484743569565
892aa844a4bffff,24,675910.21658239,28162.925690932916
892aa844a63ffff,114,139269.47554019,1221.6620661420175
892aa844a67ffff,163,220485.69897512,1352.672999847362
892aa844a6fffff,168,219148.79524509,1304.4571145541072
892aa844a73ffff,78,59628.92823471,764.4734389065385
892aa844a77ffff,238,177244.53863282,744.7249522387395
892aa844a83ffff,110,174542.7157244,1586.7519611309092
892aa844a87ffff,106,187627.60724471,1770.0717664595284
892aa844a8bffff,202,204828.52786005998,1014.0026131686138
892aa844a8fffff,63,247789.17289845,3933.1614745785714
892aa844a93ffff,204,181444.14664604,889.4320914021569
892aa844a97ffff,152,206369.3249866,1357.692927543421
892aa844a9bffff,161,234753.34144846,1458.0952884997516
892aa844aafffff,1,124.15655878,124.15655878
892aa844ab3ffff,53,186013.33227094,3509.685514546038
892aa844ab7ffff,100,67374.74514516,673.7474514516001
892aa844abbffff,13,28446.448999999997,2188.188384615384
892aa844ac3ffff,5,4057.51086313,811.502172626
892aa844ac7ffff,37,37155.8518964,1004.2122134162163
892aa844ad3ffff,264,134003.70934269,507.58980811625
892aa844ad7ffff,220,137514.77641242,625.067165511
892aa844b03ffff,53,30264.62841726,571.0307248539623
892aa844b0bffff,290,275643.41456768,950.4945329919999
892aa844b13ffff,271,128807.24221006,475.30347678988926
892aa844b1bffff,409,252451.38121794,617.2405408751589
892aa844b43ffff,58,58511.355534329996,1008.8164747298275
